Component,Deadline Date,Type,Name,,Alias,,City,Region,2015 Federal Riding,2025 New Federal Riding,Total Grant
Public Outreach,27-Mar-24,Organization,Hamilton Arts Council,,Hamilton Arts Council,,HAMILTON,ON,Hamilton Centre, Hamilton Centre ,"$40,000 "
Public Outreach,27-Mar-24,Organization,StudioFeed,,StudioFeed,,MONTREAL,QC,Hochelaga, Hochelaga ,"$30,000 "
Public Outreach,27-Mar-24,Organization,Festival des musiques de création du Saguenay-Lac-Saint-Jean,,Festival des musiques de création du Saguenay-Lac-Saint-Jean,,JONQUIÈRE,QC,Jonquière, Jonquière ,"$50,000 "
Public Outreach,27-Mar-24,Organization,Neruda Arts,,Neruda Arts,,ST. JACOBS,ON,Kitchener--Conestoga, Kitchener—Conestoga ,"$35,000 "
Public Outreach,27-Mar-24,Organization,Arts Revelstoke,,Arts Revelstoke,,REVELSTOKE,BC,Kootenay--Columbia, Kootenay—Columbia ,"$30,000 "
Public Outreach,27-Mar-24,Organization,Festival quartiers danses,,Festival quartiers danses,,MONTRÉAL,QC,LaSalle--Émard--Verdun, LaSalle—Émard—Verdun ,"$45,000 "
Public Outreach,27-Mar-24,Organization,Danse Tentacle Tribe,,Danse Tentacle Tribe,,MONTRÉAL,QC,Laurier--Sainte-Marie, Ville-Marie—Le Sud-Ouest—Île-des-Soeurs ,"$11,500 "
Public Outreach,27-Mar-24,Organization,Fondation AfroMonde,,Fondation AfroMonde,,MONTRÉAL,QC,Laurier--Sainte-Marie, Outremont ,"$30,000 "
Public Outreach,27-Mar-24,Organization,Groupe Le Vivier,,Groupe Le Vivier,,MONTRÉAL,QC,Laurier--Sainte-Marie, Laurier—Sainte-Marie ,"$30,000 "
Public Outreach,27-Mar-24,Organization,Tangente,,Tangente,,MONTRÉAL,QC,Laurier--Sainte-Marie                                                                               , Laurier—Sainte-Marie ,"$50,000 "
Public Outreach,27-Mar-24,Organization,Lethbridge Public Library,,Lethbridge Public Library,,LETHBRIDGE,AB,Lethbridge, Lethbridge ,"$20,000 "
Public Outreach,27-Mar-24,Group,Poetry London,,Poetry London,,LONDON,ON,London West, London West ,"$3,000 "
Public Outreach,27-Mar-24,Organization,Laughing Heart Music Ltd.,,Laughing Heart Music Ltd.,,STEADY BROOK,NL,Long Range Mountains, Long Range Mountains ,"$10,500 "
Public Outreach,27-Mar-24,Organization,Théâtre Tout Terrain,,Théâtre Tout Terrain,,LONGUEUIL,QC,Longueuil--Saint-Hubert, Longueuil—Saint-Hubert ,"$30,000 "
Public Outreach,27-Mar-24,Organization,2 Rivers Remix,,2 Rivers Remix,,LYTTON,BC,Mission--Matsqui--Fraser Canyon, Mission—Matsqui—Fraser Canyon ,"$75,000 "
Public Outreach,27-Mar-24,Organization,MuslimFest,,MuslimFest,,MISSISSAUGA,ON,Mississauga East--Cooksville, Mississauga East—Cooksville ,"$30,000 "
